code_commune,nb_menages,nb_personnes,revenu_median,code_dept,annee
02079,63.0,133.0,20070.0,02,2021
02080,140.0,308.0,26260.0,02,2021
02081,166.0,435.0,24090.0,02,2021
02082,47.0,112.0,22980.0,02,2021
02083,300.0,749.0,23490.0,02,2021
02084,104.0,267.0,25230.0,02,2021
02085,351.0,1003.0,23830.0,02,2021
02086,420.0,973.0,22450.0,02,2021
02089,492.0,1139.0,22590.0,02,2021
02090,72.0,185.0,22540.0,02,2021
02091,43.0,106.0,23880.0,02,2021
02093,523.0,1207.0,19760.0,02,2021
02094,187.0,484.0,25760.0,02,2021
02095,2347.0,5267.0,16190.0,02,2021
02096,79.0,185.0,23420.0,02,2021
02097,103.0,258.0,19640.0,02,2021
02098,145.0,360.0,26710.0,02,2021
02099,89.0,225.0,22880.0,02,2021
02100,48.0,129.0,19850.0,02,2021
02101,71.0,159.0,21500.0,02,2021
02102,75.0,181.0,23830.0,02,2021
02103,563.0,1263.0,20360.0,02,2021
02104,44.0,101.0,27530.0,02,2021
02105,78.0,193.0,23410.0,02,2021
02106,286.0,690.0,20250.0,02,2021
02108,60.0,138.0,25450.0,02,2021
02109,197.0,463.0,20990.0,02,2021
02110,898.0,2059.0,20580.0,02,2021
02111,285.0,698.0,23310.0,02,2021
02112,246.0,577.0,22020.0,02,2021
02114,667.0,1559.0,22080.0,02,2021
02115,91.0,205.0,22290.0,02,2021
02116,64.0,141.0,21300.0,02,2021
02118,52.0,128.0,22420.0,02,2021
02119,131.0,296.0,23500.0,02,2021
02120,75.0,189.0,22100.0,02,2021
02121,95.0,219.0,21500.0,02,2021
02123,127.0,300.0,22810.0,02,2021
02124,275.0,641.0,21140.0,02,2021
02125,70.0,196.0,23200.0,02,2021
02126,192.0,435.0,17550.0,02,2021
02127,80.0,196.0,20700.0,02,2021
02128,686.0,1451.0,23910.0,02,2021
02130,79.0,197.0,19480.0,02,2021
02131,775.0,1891.0,23900.0,02,2021
02132,74.0,195.0,24200.0,02,2021
02133,175.0,404.0,19120.0,02,2021
02134,351.0,805.0,21200.0,02,2021
02135,460.0,1067.0,19400.0,02,2021
02136,55.0,133.0,23000.0,02,2021
02137,48.0,130.0,23060.0,02,2021
02138,75.0,185.0,25330.0,02,2021
02139,182.0,452.0,23580.0,02,2021
02140,174.0,436.0,20540.0,02,2021
02141,759.0,1532.0,18690.0,02,2021
02142,90.0,246.0,26180.0,02,2021
02143,82.0,182.0,20010.0,02,2021
02144,53.0,144.0,24290.0,02,2021
02145,218.0,560.0,23920.0,02,2021
02148,103.0,237.0,22490.0,02,2021
02153,321.0,793.0,23530.0,02,2021
02154,148.0,387.0,22240.0,02,2021
02155,83.0,192.0,24300.0,02,2021
02156,96.0,219.0,20700.0,02,2021
02157,361.0,808.0,22440.0,02,2021
02158,109.0,254.0,21760.0,02,2021
02159,116.0,283.0,20810.0,02,2021
02160,209.0,487.0,19710.0,02,2021
02162,101.0,282.0,23470.0,02,2021
02163,1066.0,2502.0,21500.0,02,2021
02164,135.0,324.0,22620.0,02,2021
02165,717.0,1574.0,20900.0,02,2021
02166,162.0,382.0,24770.0,02,2021
02167,326.0,870.0,23340.0,02,2021
02168,6760.0,14554.0,19150.0,02,2021
02170,58.0,132.0,24780.0,02,2021
02171,40.0,100.0,24500.0,02,2021
02172,93.0,244.0,24190.0,02,2021
02173,5358.0,10997.0,18580.0,02,2021
02174,308.0,828.0,22600.0,02,2021
02175,62.0,160.0,21230.0,02,2021
02176,75.0,207.0,20760.0,02,2021
02177,56.0,139.0,23250.0,02,2021
02178,43.0,109.0,22740.0,02,2021
02179,154.0,384.0,23450.0,02,2021
02180,287.0,749.0,22150.0,02,2021
02182,57.0,135.0,20280.0,02,2021
02183,76.0,193.0,24510.0,02,2021
02184,123.0,287.0,21220.0,02,2021
02185,152.0,402.0,23140.0,02,2021
02186,558.0,1194.0,24080.0,02,2021
02187,502.0,1152.0,24590.0,02,2021
02188,65.0,140.0,20520.0,02,2021
02189,142.0,324.0,20150.0,02,2021
02190,230.0,558.0,22790.0,02,2021
02191,212.0,483.0,22990.0,02,2021
02192,144.0,374.0,22180.0,02,2021
02194,84.0,190.0,19560.0,02,2021
02195,348.0,924.0,24060.0,02,2021
02196,134.0,285.0,25390.0,02,2021
02197,207.0,519.0,23510.0,02,2021
02198,96.0,250.0,23230.0,02,2021
02199,231.0,612.0,21930.0,02,2021
02201,144.0,381.0,24510.0,02,2021
02203,507.0,1210.0,20580.0,02,2021
02205,82.0,212.0,22400.0,02,2021
02207,83.0,218.0,23680.0,02,2021
02208,110.0,266.0,24070.0,02,2021
02209,276.0,604.0,22080.0,02,2021
02210,144.0,378.0,22960.0,02,2021
02211,137.0,348.0,22530.0,02,2021
