periode,revenu,description,zone,id_serie,annee
2012,21483.0,Revenu disponible par unité de consommation : Médiane - Haut-Rhin,D68,1741967,2012
2013,21803.0,Revenu disponible par unité de consommation : Médiane - Haut-Rhin,D68,1741967,2013
2014,21963.0,Revenu disponible par unité de consommation : Médiane - Haut-Rhin,D68,1741967,2014
2015,21919.0,Revenu disponible par unité de consommation : Médiane - Haut-Rhin,D68,1741967,2015
2012,20953.0,Revenu disponible par unité de consommation : Médiane - Rhône,D69,1741968,2012
2013,21267.0,Revenu disponible par unité de consommation : Médiane - Rhône,D69,1741968,2013
2014,21457.0,Revenu disponible par unité de consommation : Médiane - Rhône,D69,1741968,2014
2015,21746.0,Revenu disponible par unité de consommation : Médiane - Rhône,D69,1741968,2015
2012,18508.0,Revenu disponible par unité de consommation : Médiane - Haute-Saône,D70,1741969,2012
2013,18994.0,Revenu disponible par unité de consommation : Médiane - Haute-Saône,D70,1741969,2013
2014,19178.0,Revenu disponible par unité de consommation : Médiane - Haute-Saône,D70,1741969,2014
2015,19460.0,Revenu disponible par unité de consommation : Médiane - Haute-Saône,D70,1741969,2015
2012,18811.0,Revenu disponible par unité de consommation : Médiane - Saône-et-Loire,D71,1741970,2012
2013,19363.0,Revenu disponible par unité de consommation : Médiane - Saône-et-Loire,D71,1741970,2013
2014,19589.0,Revenu disponible par unité de consommation : Médiane - Saône-et-Loire,D71,1741970,2014
2015,19737.0,Revenu disponible par unité de consommation : Médiane - Saône-et-Loire,D71,1741970,2015
2012,19102.0,Revenu disponible par unité de consommation : Médiane - Sarthe,D72,1741971,2012
2013,19587.0,Revenu disponible par unité de consommation : Médiane - Sarthe,D72,1741971,2013
2014,19755.0,Revenu disponible par unité de consommation : Médiane - Sarthe,D72,1741971,2014
2015,19932.0,Revenu disponible par unité de consommation : Médiane - Sarthe,D72,1741971,2015
2012,20895.0,Revenu disponible par unité de consommation : Médiane - Savoie,D73,1741972,2012
2013,21195.0,Revenu disponible par unité de consommation : Médiane - Savoie,D73,1741972,2013
2014,21442.0,Revenu disponible par unité de consommation : Médiane - Savoie,D73,1741972,2014
2015,21802.0,Revenu disponible par unité de consommation : Médiane - Savoie,D73,1741972,2015
2012,23658.0,Revenu disponible par unité de consommation : Médiane - Haute-Savoie,D74,1741973,2012
2013,24023.0,Revenu disponible par unité de consommation : Médiane - Haute-Savoie,D74,1741973,2013
2014,24375.0,Revenu disponible par unité de consommation : Médiane - Haute-Savoie,D74,1741973,2014
2015,25001.0,Revenu disponible par unité de consommation : Médiane - Haute-Savoie,D74,1741973,2015
2012,25711.0,Revenu disponible par unité de consommation : Médiane - Paris,D75,1741974,2012
2013,25981.0,Revenu disponible par unité de consommation : Médiane - Paris,D75,1741974,2013
2014,26195.0,Revenu disponible par unité de consommation : Médiane - Paris,D75,1741974,2014
2015,26431.0,Revenu disponible par unité de consommation : Médiane - Paris,D75,1741974,2015
2012,19317.0,Revenu disponible par unité de consommation : Médiane - Seine-Maritime,D76,1741975,2012
2013,19811.0,Revenu disponible par unité de consommation : Médiane - Seine-Maritime,D76,1741975,2013
2014,19978.0,Revenu disponible par unité de consommation : Médiane - Seine-Maritime,D76,1741975,2014
2015,20153.0,Revenu disponible par unité de consommation : Médiane - Seine-Maritime,D76,1741975,2015
2012,21707.0,Revenu disponible par unité de consommation : Médiane - Seine-et-Marne,D77,1741976,2012
2013,22007.0,Revenu disponible par unité de consommation : Médiane - Seine-et-Marne,D77,1741976,2013
2014,22191.0,Revenu disponible par unité de consommation : Médiane - Seine-et-Marne,D77,1741976,2014
2015,22339.0,Revenu disponible par unité de consommation : Médiane - Seine-et-Marne,D77,1741976,2015
2012,11764.0,Revenu disponible par unité de consommation : 1er décile - Ain,D01,1741391,2012
2013,11882.0,Revenu disponible par unité de consommation : 1er décile - Ain,D01,1741391,2013
2014,11915.0,Revenu disponible par unité de consommation : 1er décile - Ain,D01,1741391,2014
2015,12009.0,Revenu disponible par unité de consommation : 1er décile - Ain,D01,1741391,2015
2012,9690.0,Revenu disponible par unité de consommation : 1er décile - Aisne,D02,1741392,2012
2013,9874.0,Revenu disponible par unité de consommation : 1er décile - Aisne,D02,1741392,2013
2014,9915.0,Revenu disponible par unité de consommation : 1er décile - Aisne,D02,1741392,2014
2015,9946.0,Revenu disponible par unité de consommation : 1er décile - Aisne,D02,1741392,2015
2012,10473.0,Revenu disponible par unité de consommation : 1er décile - Allier,D03,1741393,2012
2013,10631.0,Revenu disponible par unité de consommation : 1er décile - Allier,D03,1741393,2013
2014,10599.0,Revenu disponible par unité de consommation : 1er décile - Allier,D03,1741393,2014
2015,10651.0,Revenu disponible par unité de consommation : 1er décile - Allier,D03,1741393,2015
2012,10029.0,Revenu disponible par unité de consommation : 1er décile - Alpes-de-Haute-Provence,D04,1741394,2012
2013,10155.0,Revenu disponible par unité de consommation : 1er décile - Alpes-de-Haute-Provence,D04,1741394,2013
2014,10152.0,Revenu disponible par unité de consommation : 1er décile - Alpes-de-Haute-Provence,D04,1741394,2014
2015,10311.0,Revenu disponible par unité de consommation : 1er décile - Alpes-de-Haute-Provence,D04,1741394,2015
2012,10670.0,Revenu disponible par unité de consommation : 1er décile - Hautes-Alpes,D05,1741395,2012
2013,10848.0,Revenu disponible par unité de consommation : 1er décile - Hautes-Alpes,D05,1741395,2013
2014,10893.0,Revenu disponible par unité de consommation : 1er décile - Hautes-Alpes,D05,1741395,2014
2015,10992.0,Revenu disponible par unité de consommation : 1er décile - Hautes-Alpes,D05,1741395,2015
2012,10133.0,Revenu disponible par unité de consommation : 1er décile - Alpes-Maritimes,D06,1741396,2012
2013,10163.0,Revenu disponible par unité de consommation : 1er décile - Alpes-Maritimes,D06,1741396,2013
2014,10213.0,Revenu disponible par unité de consommation : 1er décile - Alpes-Maritimes,D06,1741396,2014
2015,10365.0,Revenu disponible par unité de consommation : 1er décile - Alpes-Maritimes,D06,1741396,2015
2012,10435.0,Revenu disponible par unité de consommation : 1er décile - Ardèche,D07,1741397,2012
2013,10581.0,Revenu disponible par unité de consommation : 1er décile - Ardèche,D07,1741397,2013
2014,10768.0,Revenu disponible par unité de consommation : 1er décile - Ardèche,D07,1741397,2014
2015,10861.0,Revenu disponible par unité de consommation : 1er décile - Ardèche,D07,1741397,2015
2012,9573.0,Revenu disponible par unité de consommation : 1er décile - Ardennes,D08,1741398,2012
2013,9723.0,Revenu disponible par unité de consommation : 1er décile - Ardennes,D08,1741398,2013
2014,9804.0,Revenu disponible par unité de consommation : 1er décile - Ardennes,D08,1741398,2014
2015,9851.0,Revenu disponible par unité de consommation : 1er décile - Ardennes,D08,1741398,2015
2012,9649.0,Revenu disponible par unité de consommation : 1er décile - Ariège,D09,1741399,2012
2013,9810.0,Revenu disponible par unité de consommation : 1er décile - Ariège,D09,1741399,2013
2014,9928.0,Revenu disponible par unité de consommation : 1er décile - Ariège,D09,1741399,2014
2015,9864.0,Revenu disponible par unité de consommation : 1er décile - Ariège,D09,1741399,2015
2012,10352.0,Revenu disponible par unité de consommation : 1er décile - Aube,D10,1741400,2012
2013,10453.0,Revenu disponible par unité de consommation : 1er décile - Aube,D10,1741400,2013
2014,10564.0,Revenu disponible par unité de consommation : 1er décile - Aube,D10,1741400,2014
2015,10563.0,Revenu disponible par unité de consommation : 1er décile - Aube,D10,1741400,2015
2012,9099.0,Revenu disponible par unité de consommation : 1er décile - Aude,D11,1741401,2012
2013,9214.0,Revenu disponible par unité de consommation : 1er décile - Aude,D11,1741401,2013
2014,9297.0,Revenu disponible par unité de consommation : 1er décile - Aude,D11,1741401,2014
2015,9411.0,Revenu disponible par unité de consommation : 1er décile - Aude,D11,1741401,2015
2012,10566.0,Revenu disponible par unité de consommation : 1er décile - Aveyron,D12,1741402,2012
2013,10642.0,Revenu disponible par unité de consommation : 1er décile - Aveyron,D12,1741402,2013
2014,10906.0,Revenu disponible par unité de consommation : 1er décile - Aveyron,D12,1741402,2014
2015,10972.0,Revenu disponible par unité de consommation : 1er décile - Aveyron,D12,1741402,2015
